 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
15,Alpheratz,Alp And,21,Alp,,31,And,0,8,23.3,N,29,5,26,2.06,-0.11,-0.46,B8IV,0.136,-0.163,101.9,-12,25.6575,196.7496,17,Psc
27,,22 And,22,,,31,And,0,10,19.3,N,46,4,20,5.03,0.4,0.25,F2II,0.008,0,,-5,40.3915,206.8931,27,Psc
41,,23 And,23,,,31,And,0,13,30.8,N,41,2,7,5.72,0.31,-0.02,F0IV,-0.123,-0.148,135.8,-29,35.7441,204.2905,25,Psc
63,,The And,24,The,,31,And,0,17,5.5,N,38,40,54,4.61,0.06,0.04,A2V,-0.05,-0.019,148.2,1,33.3416,203.6426,24,Psc
68,,Sig And,25,Sig,,31,And,0,18,19.7,N,36,47,7,4.52,0.05,0.07,A2V,-0.063,-0.041,141.7,-8,31.5495,202.8411,23,Psc
70,,26 And,26,,,31,And,0,18,42.1,N,43,47,28,6.11,-0.08,-0.35,B8V,0.02,-0.003,,7,37.6517,207.0318,28,Psc
82,,Rho And,27,Rho,,31,And,0,21,7.3,N,37,58,7,5.18,0.42,0.05,F5III,0.06,-0.04,191.8,9,32.3296,204.0715,25,Psc
104,,HR 104,,,,31,And,0,28,13.7,N,44,23,40,5.17,0.03,-0.01,A2V s,0.089,-0.016,250.8,2,37.2985,209.2808,30,Psc
114,,28 And,28,,,31,And,0,30,7.3,N,29,45,6,5.23,0.24,0.09,A7III,0.041,-0.054,3260,-10,24.1276,201.7629,22,Psc
152,,HR 152,,,,31,And,0,36,46.6,N,44,29,19,5.13,1.6,1.97,K5-M0III,-0.023,0.033,465.7,-33,36.6085,211.0016,2,Ari
154,,Pi And,29,Pi,,31,And,0,36,52.9,N,33,43,10,4.36,-0.14,-0.55,B5V,0.015,-0.004,,9,27.0544,205.1205,26,Psc
157,,HR 157,,,,31,And,0,37,21.1,N,35,23,58,5.48,0.88,0.48,G2.5IIa,-0.016,-0.005,,0,28.5161,206.0628,27,Psc
163,,Eps And,30,Eps,,31,And,0,38,33.3,N,29,18,42,4.37,0.87,0.47,G6III,-0.227,-0.254,105.2,-84,22.9223,203.3651,24,Psc
165,,Del And,31,Del,,31,And,0,39,19.7,N,30,51,39,3.27,1.28,1.48,K3III,0.136,-0.091,116.4,-7,24.2494,204.2544,25,Psc
175,,32 And,32,,,31,And,0,41,7.2,N,39,27,31,5.33,0.89,0.6,G8III,-0.01,-0.007,326,-5,31.7869,208.9677,29,Psc
215,,Zet And,34,Zet,,31,And,0,47,20.3,N,24,16,2,4.06,1.12,0.9,K1IIe,-0.1,-0.083,88.1,-24,17.4986,203.0208,24,Psc
226,,Nu And,35,Nu,,31,And,0,49,48.8,N,41,4,44,4.53,-0.15,-0.58,B5V+F8V,0.023,-0.019,,-24,32.4431,211.5901,2,Ari
258,,36 And,36,,,31,And,0,54,58,N,23,37,42,5.47,1,0.9,K1IV,0.131,-0.031,148.2,2,16.1909,204.4156,25,Psc
269,,Mu And,37,Mu,,31,And,0,56,45.2,N,38,29,58,3.87,0.13,0.15,A5V,0.152,0.033,83.6,8,29.5245,211.6162,2,Ari
271,,Eta And,38,Eta,,31,And,0,57,12.4,N,23,25,3,4.42,0.94,0.69,G8IIIb,-0.044,-0.048,362.2,-10,15.7868,204.8169,25,Psc
290,,39 And,39,,,31,And,1,2,54.3,N,41,20,42,5.98,0.16,0.1,A5m,-0.02,-0.01,,4,31.5342,214.3212,5,Ari
324,,41 And,41,,,31,And,1,8,0.9,N,43,56,31,5.03,0.11,0.14,A3m,0.165,-0.07,105.2,9,33.4173,216.7131,7,Ari
335,,Phi And,42,Phi,,31,And,1,9,30.2,N,47,14,31,4.25,-0.07,-0.34,B7Ve,0.01,-0.009,1086.7,0,36.2212,218.863,9,Ari
337,Mirach,Bet And,43,Bet,,31,And,1,9,43.9,N,35,37,14,2.06,1.58,1.96,M0+IIIa,0.178,-0.114,66.5,3,25.7838,212.8461,3,Ari
340,,44 And,44,,,31,And,1,10,18.8,N,42,4,53,5.65,0.6,,F8V,-0.133,-0.043,,-11,31.5618,216.1616,7,Ari
348,,45 And,45,,,31,And,1,11,10.3,N,37,43,27,5.81,-0.1,-0.4,B7III-IV,-0.012,-0.007,1086.7,-1,27.5647,214.1408,5,Ari
390,Adhil,Xi And,46,Xi,,31,And,1,22,20.4,N,45,31,44,4.88,1.08,0.99,K0-IIIb,0.032,0.009,125.4,-13,33.6626,220.3028,11,Ari
395,,47 And,47,,,31,And,1,23,40.6,N,37,42,54,5.58,0.26,0.13,A2Vm,0.083,-0.022,,13,26.4949,216.6572,7,Ari
417,,Ome And,48,Ome,,31,And,1,27,39.4,N,45,24,24,4.83,0.42,0,F5IV,0.351,-0.107,108.7,11,33.132,221.2394,12,Ari
430,,49 And,49,,,31,And,1,30,6.2,N,47,0,26,5.27,1,0.82,K0III,0.008,-0.044,217.3,-11,34.3779,222.5527,13,Ari
458,Titawin,Ups And,50,Ups,,31,And,1,36,47.8,N,41,24,20,4.09,0.54,0.06,F8V,-0.171,-0.382,52.6,-28,28.7913,220.991,11,Ari
464,,51 And,51,,,31,And,1,37,59.6,N,48,37,42,3.57,1.28,1.45,K3-III,0.065,-0.113,155.2,16,35.2349,224.881,15,Ari
469,,Chi And,52,Chi,,31,And,1,39,21,N,44,23,10,4.98,0.89,0.55,G8III,-0.022,0.012,362.2,7,31.3035,222.9281,13,Ari
477,,Tau And,53,Tau,,31,And,1,40,34.8,N,40,34,37,4.94,-0.09,-0.41,B8III,0.013,-0.025,,-14,27.738,221.3438,12,Ari
